time,length,id
45,1,7895517
90,3,7490767
90,8,8337987
45,2,8337987
90,4,11368753
45,5,11368753
90,10,11352487
45,3,11352487
90,5,7437801
45,2,7437801
90,6,8678484
45,6,8678484
90,4,6807641
90,4,7895425
45,2,7895425
90,7,11316482
45,4,11316482
90,5,9603085
45,2,9603085
90,5,7895439
90,3,6807639
45,2,6807639
90,6,9603066
45,1,9603066
90,3,10408501
45,2,10408501
90,5,5786270
45,2,5786270
90,4,11369377
45,4,11369377
90,4,6807614
45,2,6807614
90,6,7142247
45,3,7142247
90,4,11407501
45,4,11407501
90,6,8970620
90,6,11352478
45,5,11352478
90,7,11352635
45,5,11352635
90,8,10411573
45,1,10411573
45,3,7127484
90,4,7490708
90,5,10408602
45,2,10408602
90,5,7053208
45,5,7053208
90,3,9645409
45,4,9645409
90,12,11352621
45,3,11352621
90,4,5764582
45,1,5764582
90,4,5764620
90,9,9603126
45,2,9603126
90,6,11392868
45,5,11392868
90,7,9602836
45,2,9602836
90,4,10411429
45,3,10411429
90,4,6807652
45,1,6807652
90,4,11407450
45,2,11407450
90,5,7885248
45,2,7885248
90,6,6768354
45,3,6768354
90,5,7127456
45,2,7127456
90,3,8337950
45,3,8337950
120,1,10230639
90,10,10230639
45,5,10230639
90,5,9603174
45,2,9603174
90,7,10408621
45,2,10408621
90,3,5764660
90,3,7895383
45,1,7895383
90,7,9602891
90,6,11352644
45,6,11352644
90,6,11352646
45,3,11352646
90,6,9594668
45,1,9594668
90,4,6830077
90,5,10408485
90,3,7108706
45,1,7108706
90,5,10408534
45,2,10408534
90,4,9580971
45,2,9580971
90,6,8966355
45,1,8966355
45,4,10411644
90,5,7127667
90,8,11368766
45,6,11368766
90,8,11173349
45,3,11173349
90,6,11369325
45,2,11369325
90,3,7127665
90,6,10408381
45,3,10408381
90,5,10388522
45,4,10388522
90,5,10411617
45,2,10411617
90,5,8970478
45,1,8970478
90,3,10089500
45,5,10089500
90,7,9594874
90,2,7490697
45,3,7490697
90,8,9603136
45,3,9603136
90,7,10230558
45,3,10230558
90,5,8966163
45,2,8966163
90,3,8970456
45,1,8970456
90,3,7438560
45,2,7438560
90,7,7885030
45,3,7885030
90,9,9602889
45,6,9602889
90,3,10388383
45,1,10388383
90,4,9812174
45,4,9812174
90,5,9373781
45,2,9373781
90,6,9603091
45,3,9603091
90,4,11369298
45,9,11369298
90,7,11391088
45,4,11391088
90,7,9602948
45,4,9602948
90,3,7895555
90,3,7127531
45,3,7127531
90,4,4061295
90,5,6807427
90,6,5786146
90,3,5764486
90,3,5764508
90,4,7895419
45,2,7895419
90,8,10408377
45,1,10408377
90,4,7050758
45,2,7050758
90,6,10063797
45,3,10063797
90,4,8083371
45,2,8083371
90,3,9603071
45,1,9603071
90,4,10408348
45,1,10408348
90,3,3976663
45,2,3976663
90,4,7141985
45,1,7141985
90,3,7895638
45,2,7895638
90,4,6807724
90,3,10408499
45,2,10408499
90,4,7490877
90,5,12099774
45,2,12099774
90,3,10226891
45,1,10226891
90,4,10221227
45,4,10221227
90,2,5509730
45,1,5509730
90,3,4061289
90,3,7438684
90,2,3947469
45,1,3947469
90,3,7459118
90,4,7388811
45,2,7388811
90,5,7851663
90,3,7764315
45,1,7764315
90,4,5509250
45,1,5509250
90,4,7884006
45,3,7884006
90,3,9576199
45,1,9576199
90,3,10408402
90,3,6768197
45,1,6768197
90,6,8246029
90,3,8897095
45,1,8897095
90,4,7821567
90,3,8833689
45,10,8833689
90,5,8272052
90,3,7759903
90,3,9456458
45,5,9456458
90,5,6580241
45,2,6580241
90,3,6579517
45,1,6579517
90,2,3976701
90,4,9603106
45,2,9603106
90,3,5764852
45,1,5764852
45,5,8905867
90,3,9594362
45,2,9594362
90,4,6442747
45,1,6442747
90,2,11391340
45,3,11391340
90,2,7108378
90,3,8966491
90,4,10230557
45,1,10230557
90,3,5615238
90,5,11391105
45,1,11391105
90,4,6506772
45,1,6506772
90,2,3965559
45,1,3965559
90,2,7079944
90,4,10385718
45,3,10385718
90,3,7438047
90,2,10390130
90,3,7676021
45,1,7676021
90,4,6506786
45,3,6506786
